AccountCode,AccountName,StatementSection,AccountGroup,AccountNature,NormalBalance,VarianceRule,DisplayOrder,ActiveFlag,Description
4000,Product Sales,Revenue,Sales Revenue,Revenue,Credit,Higher Is Favourable,10,Yes,Revenue from the sale of business equipment and products.
4100,Service Revenue,Revenue,Service Revenue,Revenue,Credit,Higher Is Favourable,20,Yes,"Revenue from maintenance, installation and support services."
4200,Other Operating Revenue,Revenue,Other Revenue,Revenue,Credit,Higher Is Favourable,30,Yes,Other recurring operating income not classified as product or service revenue.
5000,Product Cost,Cost of Sales,Product Costs,Expense,Debit,Lower Is Favourable,40,Yes,Direct cost of products sold to customers.
5100,Direct Service Cost,Cost of Sales,Service Costs,Expense,Debit,Lower Is Favourable,50,Yes,"Direct labour, materials and subcontracting costs related to service revenue."
6000,Salaries and Wages,Operating Expenses,Employee Costs,Expense,Debit,Lower Is Favourable,60,Yes,"Basic salaries, wages and overtime costs."
6100,Staff Benefits,Operating Expenses,Employee Costs,Expense,Debit,Lower Is Favourable,70,Yes,"Employer contributions, allowances and employee benefits."
6200,Premises Rent,Operating Expenses,Occupancy Costs,Expense,Debit,Lower Is Favourable,80,Yes,"Rental expense for offices, branches and storage locations."
6300,Utilities,Operating Expenses,Occupancy Costs,Expense,Debit,Lower Is Favourable,90,Yes,"Electricity, water and other utility expenses."
6400,Marketing and Advertising,Operating Expenses,Selling Expenses,Expense,Debit,Lower Is Favourable,100,Yes,"Advertising, promotional activities and campaign expenses."
6500,Transport and Delivery,Operating Expenses,Distribution Costs,Expense,Debit,Lower Is Favourable,110,Yes,"Delivery, courier, fuel and local transportation expenses."
6600,Repairs and Maintenance,Operating Expenses,Maintenance Costs,Expense,Debit,Lower Is Favourable,120,Yes,Repairs and routine maintenance of equipment and premises.
6700,IT and Software,Operating Expenses,Technology Costs,Expense,Debit,Lower Is Favourable,130,Yes,"Software subscriptions, IT support and technology services."
6800,Office Supplies,Operating Expenses,Administrative Expenses,Expense,Debit,Lower Is Favourable,140,Yes,"Stationery, printing and general office consumables."
6900,Professional Fees,Operating Expenses,Administrative Expenses,Expense,Debit,Lower Is Favourable,150,Yes,"Audit, legal, tax, consulting and professional service fees."
7000,Insurance,Operating Expenses,Administrative Expenses,Expense,Debit,Lower Is Favourable,160,Yes,Insurance premiums for business operations and assets.
7100,Training and Development,Operating Expenses,Employee Costs,Expense,Debit,Lower Is Favourable,170,Yes,"Employee training, seminars and development programmes."
7200,Travel and Accommodation,Operating Expenses,Selling Expenses,Expense,Debit,Lower Is Favourable,180,Yes,"Business travel, accommodation and related expenses."
7300,Bank Charges,Operating Expenses,Finance and Banking Costs,Expense,Debit,Lower Is Favourable,190,Yes,Bank service fees and transaction charges.
7400,Depreciation,Operating Expenses,Non-cash Expenses,Expense,Debit,Lower Is Favourable,200,Yes,Periodic depreciation expense on property and equipment.
7500,Miscellaneous Operating Expense,Operating Expenses,Other Operating Expenses,Expense,Debit,Lower Is Favourable,210,Yes,Minor operating expenses not classified elsewhere.
