BudgetID,BranchID,DepartmentID,AccountCode,BudgetAmount,BudgetVersion,BudgetNotes,MonthKey,BudgetIDValidationFlag,BudgetAmountValidationFlag,BudgetVersionValidationFlag,MonthKeyValidationFlag,BranchValidationFlag,DepartmentValidationFlag,AccountValidationFlag,BudgetValidationStatus
BUD-202501-BR01-D01-4000,BR01,D01,4000,352000,Original Budget,Revenue profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-4100,BR01,D01,4100,105600,Original Budget,Revenue profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-4200,BR01,D01,4200,7000,Original Budget,Revenue profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-5000,BR01,D01,5000,211200,Original Budget,Revenue profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-6000,BR01,D01,6000,20000,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-6100,BR01,D01,6100,3600,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-6400,BR01,D01,6400,7500,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-6500,BR01,D01,6500,4700,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-6700,BR01,D01,6700,1500,Original Budget,Fixed profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-6800,BR01,D01,6800,800,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-7100,BR01,D01,7100,800,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D01-7200,BR01,D01,7200,2400,Original Budget,Variable profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
BUD-202501-BR01-D02-5100,BR01,D02,5100,42200,Original Budget,Revenue profile; branch scale 1.00,2025-01,Valid,Valid,Valid,Valid,Valid,Valid,Valid,Pass
