ImportedFileName,TransactionID,PostingDate,BranchID,DepartmentID,AccountCode,VendorID,DocumentNumber,Description,Amount,TransactionType,SourceFile,PostingMonthMatchFlag,SourceFileMatchFlag,AmountValidationFlag,TransactionTypeValidationFlag,DescriptionFormatFlag,RepairExceptionFlag,BranchValidationFlag,DepartmentValidationFlag,AccountValidationFlag,MonthKey,MonthKeyValidationFlag,VendorStatus_Master,VendorValidationFlag,DuplicateTransactionIDFlag,RepeatedVendorDocumentFlag,ValidationStatus,DepartmentID_Processed,AccountCode_Processed,Description_Processed,ResolutionAction,ReportingTreatment
actual_transactions_2025_01.xlsx,TXN-202501-00048,1/1/2025,BR01,D01,6500,V014,INV-V014-202501-0048,Local delivery cost,1180,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,6500,Local delivery cost,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00276,2/1/2025,BR03,D01,5000,V001,INV-V001-202501-0276,Replacement unit purchase,12380,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,5000,Replacement unit purchase,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00050,1/1/2025,BR01,D01,6500,V015,INV-V015-202501-0050,Freight and transport,1400,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,6500,Freight and transport,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00275,1/1/2025,BR03,D01,5000,V002,INV-V002-202501-0275,Equipment procurement,19660,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,5000,Equipment procurement,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00042,2/1/2025,BR01,D01,5000,V002,INV-V002-202501-0042,Product inventory purchase,36000,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,5000,Product inventory purchase,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00060,1/1/2025,BR01,D02,5100,V005,INV-V005-202501-0060,Installation labour cost,10280,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D02,5100,Installation labour cost,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00278,1/1/2025,BR03,D01,5000,V003,INV-V003-202501-0278,Replacement unit purchase,16790,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,5000,Replacement unit purchase,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00400,1/1/2025,BR04,D01,5000,V003,INV-V003-202501-0400,Replacement unit purchase,14810,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,5000,Replacement unit purchase,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00154,2/1/2025,BR02,D01,5000,V003,INV-V003-202501-0154,Product inventory purchase,13100,Purchase,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D01,5000,Product inventory purchase,No action required,Include - Valid
actual_transactions_2025_01.xlsx,TXN-202501-00090,1/1/2025,BR01,D03,6700,V019,INV-V019-202501-0090,Software subscription,560,Expense,actual_transactions_2025_01.xlsx,Match,Match,Valid,Valid,Standard,Normal,Valid,Valid,Valid,2025-01,Valid,Active,Valid,Unique,Unique / Not Applicable,Pass,D03,6700,Software subscription,No action required,Include - Valid
