VendorID,VendorName,VendorCategory,DefaultAccountCode,DefaultAccountName,PaymentTermsDays,PreferredPaymentMethod,TaxRegistrationStatus,BankDetailsVerified,VendorStatus,RiskRating,City,State,OnboardingDate,Description
V001,Sarawak Office Systems Sdn. Bhd.,Product Supplier,5000,Product Cost,30,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,1/2/2018,Primary supplier of office equipment and business hardware.
V002,Borneo Equipment Distribution Sdn. Bhd.,Product Supplier,5000,Product Cost,45,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,15/5/2018,Regional distributor of commercial equipment and replacement units.
V003,Northern Tech Supplies Sdn. Bhd.,Product Supplier,5000,Product Cost,30,Bank Transfer,Registered,Yes,Active,Low,Miri,Sarawak,10/8/2020,Supplies products and spare units to northern branches.
V004,Central Business Hardware Sdn. Bhd.,Product Supplier,5000,Product Cost,30,Bank Transfer,Registered,Yes,Active,Medium,Sibu,Sarawak,6/3/2023,Newer supplier supporting the central Sarawak market.
V005,East Malaysia Service Partners Sdn. Bhd.,Service Subcontractor,5100,Direct Service Cost,30,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,21/1/2019,Provides installation and technical support services.
V006,Sarawak Field Services Enterprise,Service Subcontractor,5100,Direct Service Cost,14,Bank Transfer,Registered,Yes,Active,Medium,Bintulu,Sarawak,14/6/2022,Provides field maintenance and short-term service support.
V007,Kuching Commercial Properties Sdn. Bhd.,Property Rental,6200,Premises Rent,30,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,2/1/2018,Landlord for the Kuching head office and branch premises.
V008,Sibu Business Centre Management Sdn. Bhd.,Property Rental,6200,Premises Rent,30,Bank Transfer,Registered,Yes,Active,Low,Sibu,Sarawak,18/3/2019,Landlord and facilities manager for the Sibu branch.
V009,Northern Commercial Properties Sdn. Bhd.,Property Rental,6200,Premises Rent,30,Bank Transfer,Registered,Yes,Active,Low,Miri,Sarawak,15/2/2021,Landlord for the Miri branch premises.
V010,Borneo Utility Management Sdn. Bhd.,Utilities,6300,Utilities,30,Direct Debit,Registered,Yes,Active,Low,Kuching,Sarawak,12/2/2018,Consolidated utility billing and facilities-related services.
V011,Northland Energy Services Sdn. Bhd.,Utilities,6300,Utilities,30,Direct Debit,Registered,Yes,Active,Low,Miri,Sarawak,5/4/2021,Utility and energy-related services for northern branches.
V012,Rainforest Creative Agency Sdn. Bhd.,Marketing,6400,Marketing and Advertising,30,Bank Transfer,Registered,Yes,Active,Medium,Kuching,Sarawak,17/1/2022,"Provides advertising, design and campaign services."
V013,Digital Reach Sarawak Sdn. Bhd.,Marketing,6400,Marketing and Advertising,14,Bank Transfer,Registered,Yes,Active,Medium,Kuching,Sarawak,1/2/2024,Provides digital marketing and social media campaign support.
V014,Hornbill Logistics Sdn. Bhd.,Logistics,6500,Transport and Delivery,30,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,9/7/2018,Regional delivery and freight service provider.
V015,Coastal Courier Services Enterprise,Logistics,6500,Transport and Delivery,14,Bank Transfer,Registered,Yes,Active,Medium,Bintulu,Sarawak,12/9/2022,Courier and urgent inter-branch delivery services.
V016,Borneo Facility Care Sdn. Bhd.,Maintenance,6600,Repairs and Maintenance,30,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,20/8/2019,"Routine facilities, air-conditioning and premises maintenance."
V017,Precision Equipment Maintenance Enterprise,Maintenance,6600,Repairs and Maintenance,14,Bank Transfer,Registered,Yes,Active,Medium,Sibu,Sarawak,3/5/2023,Specialised repair and maintenance for business equipment.
V018,CloudBridge Software Solutions Sdn. Bhd.,IT and Software,6700,IT and Software,30,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,13/1/2020,"Software subscriptions, cloud services and technical support."
V019,SecureNet Systems Sarawak Sdn. Bhd.,IT and Software,6700,IT and Software,30,Bank Transfer,Registered,Yes,Active,Medium,Kuching,Sarawak,9/10/2023,"Network security, backup and managed IT services."
V020,PaperTrail Office Supplies Sdn. Bhd.,Office Supplies,6800,Office Supplies,30,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,5/3/2018,"Stationery, printing materials and office consumables."
V021,Stationery Hub Sarawak Enterprise,Office Supplies,6800,Office Supplies,14,Bank Transfer,Registered,Yes,Active,Medium,Sibu,Sarawak,1/11/2022,Secondary office supplies vendor for central branches.
V022,Summit Advisory Partners Sdn. Bhd.,Professional Services,6900,Professional Fees,30,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,24/6/2019,"Accounting, tax and business advisory services."
V023,Sarawak Corporate Legal Services Sdn. Bhd.,Professional Services,6900,Professional Fees,30,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,14/9/2020,"Corporate legal, contract review and compliance services."
V024,Borneo Risk Assurance Sdn. Bhd.,Insurance,7000,Insurance,30,Bank Transfer,Registered,Yes,Active,Low,Kuching,Sarawak,22/1/2018,Business insurance and asset coverage provider.
